"","biol.endpoints","hydro.endpoints","thresholds"
"1","H_ASCI","d_ds_mag_50",0.75
"2","D_ASCI","d_ds_mag_50",0.75
"3","H_ASCI","d_fa_mag",0.75
"4","D_ASCI","d_fa_mag",0.75
"5","H_ASCI","d_peak_10",0.75
"6","D_ASCI","d_peak_10",0.75
"7","H_ASCI","d_peak_2",0.75
"8","D_ASCI","d_peak_2",0.75
"9","H_ASCI","d_peak_5",0.75
"10","D_ASCI","d_peak_5",0.75
"11","H_ASCI","d_sp_mag",0.75
"12","D_ASCI","d_sp_mag",0.75
"13","H_ASCI","d_wet_bfl_mag_10",0.75
"14","D_ASCI","d_wet_bfl_mag_10",0.75
"15","H_ASCI","d_wet_bfl_mag_50",0.75
"16","D_ASCI","d_wet_bfl_mag_50",0.75
"17","H_ASCI","delta_q99",0.75
"18","D_ASCI","delta_q99",0.75
"19","H_ASCI","d_ds_mag_50",0.86
"20","D_ASCI","d_ds_mag_50",0.86
"21","H_ASCI","d_fa_mag",0.86
"22","D_ASCI","d_fa_mag",0.86
"23","H_ASCI","d_peak_10",0.86
"24","D_ASCI","d_peak_10",0.86
"25","H_ASCI","d_peak_2",0.86
"26","D_ASCI","d_peak_2",0.86
"27","H_ASCI","d_peak_5",0.86
"28","D_ASCI","d_peak_5",0.86
"29","H_ASCI","d_sp_mag",0.86
"30","D_ASCI","d_sp_mag",0.86
"31","H_ASCI","d_wet_bfl_mag_10",0.86
"32","D_ASCI","d_wet_bfl_mag_10",0.86
"33","H_ASCI","d_wet_bfl_mag_50",0.86
"34","D_ASCI","d_wet_bfl_mag_50",0.86
"35","H_ASCI","delta_q99",0.86
"36","D_ASCI","delta_q99",0.86
"37","H_ASCI","d_ds_mag_50",0.94
"38","D_ASCI","d_ds_mag_50",0.94
"39","H_ASCI","d_fa_mag",0.94
"40","D_ASCI","d_fa_mag",0.94
"41","H_ASCI","d_peak_10",0.94
"42","D_ASCI","d_peak_10",0.94
"43","H_ASCI","d_peak_2",0.94
"44","D_ASCI","d_peak_2",0.94
"45","H_ASCI","d_peak_5",0.94
"46","D_ASCI","d_peak_5",0.94
"47","H_ASCI","d_sp_mag",0.94
"48","D_ASCI","d_sp_mag",0.94
"49","H_ASCI","d_wet_bfl_mag_10",0.94
"50","D_ASCI","d_wet_bfl_mag_10",0.94
"51","H_ASCI","d_wet_bfl_mag_50",0.94
"52","D_ASCI","d_wet_bfl_mag_50",0.94
"53","H_ASCI","delta_q99",0.94
"54","D_ASCI","delta_q99",0.94
