"","var","Flow.Metric.Name","Flow.Component","CSCI","ASCI"
"1","d_ds_mag_50","Dry-season median baseflow","Dry-season baseflow",20.9854166663915,9.18958261778375
"2","d_fa_mag","Fall pulse magnitude","Fall pulse flow",13.9678580048164,10.3429095000803
"3","d_peak_10","10-year flood magnitude","Peak flow",20.1036003667324,9.54028660283774
"4","d_peak_2","2-year flood magnitude","Peak flow",6.64065265879808,29.3358117434689
"5","d_peak_5","5-year flood magnitude","Peak flow",6.76680221729337,6.97711204663469
"6","d_sp_mag","Spring recession magnitude","Spring recession flow",11.9705829407925,9.88098508551827
"7","d_wet_bfl_mag_10","Wet-season low baseflow","Wet-season baseflow",4.59917629542824,6.59542298237828
"8","d_wet_bfl_mag_50","Wet-season median baseflow","Wet-season baseflow",7.02168422360954,9.8496942588821
"9","delta_q99","Magnitude of largest annual storm","Peak flow",7.94422662613793,8.28819516241595
