"","metric","Threshold70","Threshold90","Threshold99","n","Type","Biol","Bio_endpoint","Bio_threshold","Hydro_endpoint"
"1","H_ASCI_d_ds_mag_50_0.86_Positive",3.52765188311036,10.9759457748749,0.388193656232124,240,"Positive","ASCI","H_ASCI",0.86,"DS_Mag_50"
"2","H_ASCI_d_fa_mag_0.86_Positive",80.5975522712965,245.669463083764,8.87410764245216,250,"Positive","ASCI","H_ASCI",0.86,"FA_Mag"
"3","H_ASCI_d_peak_10_0.86_Positive",NA,NA,NA,131,"Positive","ASCI","H_ASCI",0.86,"Peak_10"
"4","H_ASCI_d_peak_2_0.86_Positive",NA,NA,NA,54,"Positive","ASCI","H_ASCI",0.86,"Peak_2"
"5","H_ASCI_d_peak_5_0.86_Positive",NA,NA,NA,96,"Positive","ASCI","H_ASCI",0.86,"Peak_5"
"6","H_ASCI_d_sp_mag_0.86_Positive",159.184097960753,483.707918251024,15.9384167423215,232,"Positive","ASCI","H_ASCI",0.86,"SP_Mag"
"7","H_ASCI_d_wet_bfl_mag_10_0.86_Positive",5.36162692117574,16.0362870649559,0.792305535376002,202,"Positive","ASCI","H_ASCI",0.86,"Wet_BFL_Mag_10"
"8","H_ASCI_d_wet_bfl_mag_50_0.86_Positive",10.3284594807663,31.9773861800458,1.05527065559881,204,"Positive","ASCI","H_ASCI",0.86,"Wet_BFL_Mag_50"
"9","H_ASCI_delta_q99_0.86_Positive",841.637936419684,624.394513771342,985.91855021202,29,"Positive","ASCI","H_ASCI",0.86,"Q99"
"10","H_ASCI_d_ds_mag_50_0.86_Negative",-1.7328674616023,-4.49969211400143,-0.585310710313283,35,"Negative","ASCI","H_ASCI",0.86,"DS_Mag_50"
"11","H_ASCI_d_fa_mag_0.86_Negative",-0.591128777765477,-1.40186417643384,-0.358562867637452,25,"Negative","ASCI","H_ASCI",0.86,"FA_Mag"
"12","H_ASCI_d_peak_10_0.86_Negative",-451.097949925214,-1432.5241142132,-45.6698926967235,144,"Negative","ASCI","H_ASCI",0.86,"Peak_10"
"13","H_ASCI_d_peak_2_0.86_Negative",-108.751150547173,-324.18568719672,-15.3653162376427,221,"Negative","ASCI","H_ASCI",0.86,"Peak_2"
"14","H_ASCI_d_peak_5_0.86_Negative",-393.881881425115,-1276.87995000855,-39.7570314007779,179,"Negative","ASCI","H_ASCI",0.86,"Peak_5"
"15","H_ASCI_d_sp_mag_0.86_Negative",-58.3347690705048,-174.187295619607,-12.7934912110825,43,"Negative","ASCI","H_ASCI",0.86,"SP_Mag"
"16","H_ASCI_d_wet_bfl_mag_10_0.86_Negative",-4.8515872911705,-15.0306759376775,-0.77982116339671,73,"Negative","ASCI","H_ASCI",0.86,"Wet_BFL_Mag_10"
"17","H_ASCI_d_wet_bfl_mag_50_0.86_Negative",-22.7622930659072,-83.7084112532826,-2.52923788867653,71,"Negative","ASCI","H_ASCI",0.86,"Wet_BFL_Mag_50"
"18","H_ASCI_delta_q99_0.86_Negative",-143.352545871104,-450.978770902679,-14.7555191093033,246,"Negative","ASCI","H_ASCI",0.86,"Q99"
